id	title	category	tool	content	tags	uses	rating
aut-001	AUT-001 Thiết kế Workflow Make.com	automation	Claude	Bạn là Make.com Expert chuyên thiết kế automation workflow cho SME Việt Nam.\n\nThiết kế WORKFLOW MAKE.COM hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Mục tiêu automation: [MÔ TẢ QUY TRÌNH CẦN TỰ ĐỘNG HÓA]\n- Apps đang dùng: [FACEBOOK / ZALO / GOOGLE SHEETS / GMAIL / CRM / ...]\n- Trigger khởi động workflow: [SỰ KIỆN BẮT ĐẦU]\n- Kết quả mong muốn: [OUTPUT CUỐI CÙNG]\n- Tần suất chạy: [REAL-TIME / MỖI GIỜ / HÀNG NGÀY]\n- Ngân sách Make.com: [GÓI FREE / CORE / PRO]\n\nPHẦN 1 - SƠ ĐỒ WORKFLOW\n\nMÔ TẢ TỪNG BƯỚC:\nBước 1 - TRIGGER:\n- Module: [Watch / Webhook / Schedule]\n- App: [TÊN APP]\n- Cấu hình: [CHI TIẾT SETTINGS]\n- Data output: [CÁC FIELD SẼ CÓ]\n\nBước 2-N - ACTIONS:\nMỗi bước ghi rõ:\n- Module name (chính xác tên trong Make)\n- App + Connection cần setup\n- Input mapping: field nào lấy từ bước nào\n- Filter/Condition nếu có\n- Error handling\n\nBước CUỐI - OUTPUT:\n- Kết quả được tạo ra ở đâu\n- Format dữ liệu\n- Notification confirm\n\nPHẦN 2 - SETUP GUIDE CHI TIẾT\n\nCHUẨN BỊ TRƯỚC KHI BUILD:\n- Danh sách accounts cần kết nối\n- Permissions cần grant\n- Test data cần chuẩn bị\n- Webhooks cần tạo\n\nBUILD STEP-BY-STEP:\nMỗi module hướng dẫn:\n- Tìm module ở đâu (search term)\n- Các field bắt buộc cần điền\n- Cách map data từ previous step\n- Screenshot concept (mô tả layout)\n\nPHẦN 3 - ERROR HANDLING\n- Các lỗi thường gặp và cách fix\n- Retry logic khuyến nghị\n- Alert khi workflow fail\n- Rollback strategy\n\nPHẦN 4 - TESTING CHECKLIST\n- Test với dữ liệu giả trước\n- Verify từng bước output\n- Test edge cases\n- Monitor 48h đầu sau khi live\n\nPHẦN 5 - OPTIMIZATION\n- Operations count estimate (quan trọng với gói giới hạn)\n- Cách giảm operations nếu cần\n- Scheduling tối ưu\n- Cách duplicate cho use case tương tự\n\nBONUS - TEMPLATE SCENARIOS:\n3 variation của workflow này cho 3 ngành phổ biến tại Việt Nam	make,workflow,automation,no-code,integration	0	5
aut-002	AUT-002 Thiết kế Workflow n8n	automation	Claude	Bạn là n8n Expert chuyên thiết kế automation workflow self-hosted cho SME Việt Nam.\n\nThiết kế WORKFLOW N8N hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Mục tiêu automation: [MÔ TẢ QUY TRÌNH]\n- Nguồn dữ liệu (Trigger): [APP / DATABASE / WEBHOOK / SCHEDULE]\n- Xử lý dữ liệu: [TRANSFORM / FILTER / ENRICH]\n- Đích đến (Output): [APP / DATABASE / NOTIFICATION]\n- Self-hosted hay n8n Cloud: [SELF-HOSTED / CLOUD]\n- Tech stack hiện tại: [DATABASE / SERVER / ...]\n\nPHẦN 1 - WORKFLOW ARCHITECTURE\n\nNODE DIAGRAM (mô tả dạng text):\n[Trigger Node] → [Node 1] → [Node 2] → [IF/Switch] → [Node A / Node B] → [Output Node]\n\nMỖI NODE CHI TIẾT:\nTên node | Type | Mục đích | Input | Output | Config quan trọng\n\nPHẦN 2 - JSON WORKFLOW TEMPLATE\n\nCung cấp JSON structure cơ bản của workflow:\n{\n  "nodes": [\n    {\n      "name": "[TÊN NODE]",\n      "type": "[LOẠI NODE]",\n      "parameters": { [KEY PARAMS] },\n      "position": [x, y]\n    }\n  ],\n  "connections": { [MAPPING KẾT NỐI] }\n}\n\nHướng dẫn import JSON vào n8n\n\nPHẦN 3 - NODE CONFIGURATION GUIDE\n\nCHO TỪNG NODE QUAN TRỌNG:\n- Credentials cần setup\n- Parameters cần điền\n- Expression syntax n8n: {{ $json.fieldName }}\n- IF conditions syntax\n- Loop/Split in batches config\n\nPHẦN 4 - SELF-HOSTED SETUP (nếu chọn self-hosted)\n- Docker compose snippet\n- Nginx reverse proxy config\n- SSL setup\n- Backup workflow strategy\n- Update procedure\n\nPHẦN 5 - ADVANCED FEATURES\n- Sử dụng Function node (JavaScript) để xử lý logic phức tạp\n- Code examples cho các transform phổ biến\n- Webhook authentication\n- Rate limiting handling\n\nPHẦN 6 - MONITORING & ALERTING\n- Setup execution logging\n- Error workflow (khi main workflow fail)\n- Telegram/Email alert khi lỗi\n- Dashboard theo dõi executions\n\nBONUS - COMMUNITY NODES PHỔ BIẾN:\nTop 5 community nodes hữu ích cho SME Việt Nam + hướng dẫn install	n8n,workflow,automation,self-hosted,integration	0	5
aut-003	AUT-003 Thiết kế Workflow Zapier	automation	Claude	Bạn là Zapier Expert chuyên thiết kế Zaps hiệu quả cho SME Việt Nam.\n\nThiết kế WORKFLOW ZAPIER hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Mục tiêu automation: [MÔ TẢ QUY TRÌNH]\n- Trigger App: [TÊN APP + SỰ KIỆN]\n- Action Apps: [LIST CÁC APP CẦN KẾT NỐI]\n- Điều kiện lọc (nếu có): [FILTER CONDITIONS]\n- Gói Zapier đang dùng: [FREE / STARTER / PROFESSIONAL / TEAM]\n\nPHẦN 1 - ZAP DESIGN\n\nSTRUCTURE:\nTrigger: [App] - [Event]\n  ↓ Filter (nếu có)\nAction 1: [App] - [Action]\n  ↓\nAction 2: [App] - [Action]\n  ↓\n[Multi-step nếu cần]\n\nMỖI STEP CHI TIẾT:\nStep | App | Event/Action | Field Mapping | Notes\n\nPHẦN 2 - SETUP GUIDE\n\nKẾT NỐI TÀI KHOẢN:\n- Quyền truy cập cần thiết cho từng app\n- OAuth vs API key cho từng service\n- Lưu ý bảo mật credentials\n\nFIELD MAPPING:\n- Bảng mapping: Source field → Destination field\n- Cách dùng Zapier Formatter\n- Text transforms hay dùng\n- Date/number formatting\n\nFILTER CONDITIONS:\n- Syntax bộ lọc Zapier\n- AND vs OR logic\n- Ví dụ filter cụ thể cho use case\n\nPHẦN 3 - PATHS (Multi-path Zaps)\nNếu cần logic rẽ nhánh:\n- Điều kiện cho mỗi path\n- Action khác nhau theo từng path\n- Default path handling\n\nPHẦN 4 - ZAPIER TABLES & INTERFACES\n- Cách dùng Zapier Tables thay Google Sheets\n- Interface để team tương tác với data\n- Lookup Table cho reference data\n\nPHẦN 5 - TASK OPTIMIZATION\n- Ước tính tasks/tháng\n- Cách giảm tasks:\n  + Dùng Digest để batch\n  + Filter sớm trong workflow\n  + Schedule thay real-time khi phù hợp\n- Task alert khi gần hết quota\n\nPHẦN 6 - TESTING\n- Test trigger với data thật\n- Skip test nếu có side effects\n- Review Zap history\n- Replay failed Zaps\n\nBONUS - TOP 10 ZAP TEMPLATES PHỔ BIẾN:\nCác Zap sẵn có thể reuse ngay cho SME Việt Nam	zapier,workflow,automation,no-code,integration	0	5
aut-004	AUT-004 Google Apps Script Automation	automation	Claude	Bạn là Google Apps Script Developer chuyên viết automation scripts cho SME Việt Nam sử dụng Google Workspace.\n\nViết GOOGLE APPS SCRIPT AUTOMATION hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Mục tiêu automation: [MÔ TẢ CHI TIẾT]\n- Google Apps liên quan: [SHEETS / DOCS / GMAIL / CALENDAR / DRIVE / FORMS]\n- Trigger: [TIME-BASED / ON EDIT / ON SUBMIT / ON OPEN / MANUAL]\n- Input data: [NGUỒN DỮ LIỆU]\n- Output: [KẾT QUẢ CẦN TẠO]\n- Tần suất: [REAL-TIME / HÀNG NGÀY / HÀNG TUẦN]\n\nPHẦN 1 - SCRIPT CODE\n\nCUNG CẤP CODE HOÀN CHỈNH:\n```javascript\n// [TÊN SCRIPT] - AIFUN OS Automation\n// Mục đích: [MÔ TẢ]\n// Trigger: [LOẠI TRIGGER]\n// Author: [TÊN]\n// Version: 1.0\n// Last updated: [NGÀY]\n\n// CONFIG - Điền các giá trị này trước khi chạy\nconst CONFIG = {\n  SPREADSHEET_ID: '[ID_SPREADSHEET]',\n  SHEET_NAME: '[TÊN_SHEET]',\n  EMAIL_RECIPIENT: '[EMAIL]',\n  // ... thêm config theo use case\n};\n\n// MAIN FUNCTION\nfunction main() {\n  // Code chính ở đây\n}\n\n// HELPER FUNCTIONS\nfunction [helperName]() {\n  // Helper functions\n}\n\n// ERROR HANDLING\nfunction handleError(error) {\n  Logger.log('Error: ' + error.message);\n  // Gửi alert email nếu cần\n}\n```\n\nPHẦN 2 - SETUP INSTRUCTIONS\n\nCÀI ĐẶT SCRIPT:\n1. Mở Google Sheets/Docs → Extensions → Apps Script\n2. Xóa code mặc định, paste code mới\n3. Điền CONFIG values\n4. Lưu (Ctrl+S)\n5. Chạy thử function main() lần đầu\n6. Grant permissions\n\nSETUP TRIGGER:\n- Triggers → Add Trigger\n- Chọn function: main\n- Chọn event source: [Time / Spreadsheet]\n- Chọn event type: [chi tiết]\n- Save\n\nPHẦN 3 - TESTING\n- Cách test từng function riêng\n- Logger.log() để debug\n- Execution log ở đâu\n- Test với data giả\n\nPHẦN 4 - ADVANCED FEATURES\n- PropertiesService để lưu config\n- LockService tránh concurrent execution\n- UrlFetchApp để gọi external APIs\n- HtmlService để tạo custom UI\n\nPHẦN 5 - QUOTA & LIMITS\n- Apps Script quotas quan trọng\n- Cách tối ưu để không vượt quota\n- Xử lý khi gần đến limit\n\nBONUS - 5 SCRIPT TEMPLATES SẴN DÙNG:\n1. Auto email report từ Sheets hàng ngày\n2. Form → Sheets → Gmail notification\n3. Calendar reminder automation\n4. Drive file organizer\n5. Sheets data validator	apps-script,google,automation,sheets,gmail	0	5
aut-005	AUT-005 Lead Capture Automation	automation	Claude	Bạn là Marketing Automation Expert chuyên xây dựng hệ thống lead capture tự động cho SME Việt Nam.\n\nThiết kế HỆ THỐNG LEAD CAPTURE AUTOMATION hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Doanh nghiệp: [TÊN + NGÀNH]\n- Nguồn leads: [FACEBOOK ADS / ZALO ADS / WEBSITE FORM / LANDING PAGE / QR CODE]\n- CRM/Spreadsheet lưu leads: [TOOL ĐANG DÙNG]\n- Người nhận thông báo: [TÊN + EMAIL + SĐT]\n- Thời gian phản hồi mục tiêu: [X phút sau khi lead điền form]\n- Tool automation: [MAKE.COM / N8N / ZAPIER / APPS SCRIPT]\n\nPHẦN 1 - LEAD CAPTURE FLOW\n\nSƠ ĐỒ TỔNG QUAN:\nLead điền form\n  ↓\nData validate & enrich\n  ↓\nLưu vào CRM/Sheets\n  ↓\nNotify sales team (Zalo + Email)\n  ↓\nAuto reply cho lead\n  ↓\nAssign & track\n\nPHẦN 2 - NGUỒN LEADS SETUP\n\nFACEBOOK LEAD ADS:\n- Kết nối Facebook Lead Ads với automation\n- Field mapping từ form Facebook\n- Xử lý duplicate leads\n- Sync realtime vs batch\n\nLANDING PAGE FORM:\n- Webhook setup\n- Hidden fields tracking (UTM, source)\n- Spam filter\n- Thank you page redirect\n\nZALO OA:\n- Zalo webhook setup\n- Xử lý tin nhắn đầu tiên\n- Auto-qualify qua bot\n\nPHẦN 3 - DATA PROCESSING\n\nVALIDATION:\n- Kiểm tra số điện thoại Việt Nam (format 0xxxxxxxxx)\n- Kiểm tra email hợp lệ\n- Dedup: tìm lead trùng theo SĐT/email\n- Enrich: bổ sung thông tin từ database\n\nLEAD ENRICHMENT:\n- Auto-score dựa trên thông tin điền\n- Tag theo nguồn, sản phẩm quan tâm\n- Phân loại hot/warm/cold ngay\n\nPHẦN 4 - NOTIFICATION SYSTEM\n\nCHO SALES TEAM:\nZalo message template:\n"[ICON] LEAD MỚI!\nTên: {name}\nSĐT: {phone}\nQuan tâm: {product}\nNguồn: {source}\nThời gian: {time}\n→ Gọi ngay: {phone}"\n\nEmail notification:\n- Subject: [HOT LEAD] {name} - {product}\n- Body: đầy đủ thông tin + link CRM\n- Assign to: [rule assignment]\n\nEscalation: Nếu không có ai gọi trong X phút → notify manager\n\nPHẦN 5 - AUTO REPLY CHO LEAD\n\nEmail tự động gửi ngay:\n- Subject: "Chúng tôi đã nhận thông tin của bạn"\n- Nội dung: confirm + set expectations + next steps\n- Personalized với tên, sản phẩm quan tâm\n\nZalo auto reply:\n- Tin nhắn xác nhận ngay\n- Menu chọn nhanh\n- Attach tài liệu liên quan\n\nPHẦN 6 - TRACKING & REPORTING\n- Dashboard theo dõi leads theo nguồn\n- Báo cáo tự động hàng ngày\n- Conversion tracking\n- Cost per lead by source	lead-capture,automation,CRM,notification,marketing	0	5
aut-006	AUT-006 CRM Automation	automation	Claude	Bạn là CRM Automation Expert chuyên tối ưu quy trình bán hàng tự động cho SME Việt Nam.\n\nThiết kế CRM AUTOMATION SYSTEM hoàn chỉnh cho:\n\nTHÔNG TIN:\n- CRM đang dùng: [HUBSPOT / PIPEDRIVE / GOOGLE SHEETS / EXCEL / CUSTOM]\n- Quy mô team sales: [X người]\n- Sản phẩm/dịch vụ: [MÔ TẢ]\n- Sales process hiện tại: [MÔ TẢ CÁC STAGE]\n- Pain point lớn nhất: [VẤN ĐỀ CẦN GIẢI QUYẾT]\n- Tool automation: [MAKE / N8N / ZAPIER / APPS SCRIPT]\n\nPHẦN 1 - CRM AUTOMATION MAP\n\nTOÀN BỘ AUTOMATION THEO PIPELINE STAGE:\n\nSTAGE: NEW LEAD\n- Trigger: Lead mới vào CRM\n- Auto actions:\n  + Assign sales rep (round robin / rule-based)\n  + Gửi notification Zalo/Email cho sales\n  + Tạo task: "Gọi điện trong 2h"\n  + Auto reply cho lead\n  + Add vào nurture sequence nếu chưa qualified\n\nSTAGE: CONTACTED\n- Trigger: Sales log cuộc gọi đầu tiên\n- Auto actions:\n  + Update status + timestamp\n  + Tạo task follow-up tiếp theo\n  + Gửi email/Zalo tài liệu liên quan\n  + Trigger nurture email sequence\n\nSTAGE: QUALIFIED\n- Trigger: Sales mark là qualified\n- Auto actions:\n  + Notify manager deal lớn (>X đồng)\n  + Gửi proposal template\n  + Set follow-up deadline\n  + Add vào hot list\n\nSTAGE: PROPOSAL SENT\n- Trigger: Proposal gửi đi\n- Auto actions:\n  + Start proposal follow-up sequence\n  + Reminder sau 3 ngày nếu chưa reply\n  + Track email open (nếu có tool)\n\nSTAGE: NEGOTIATION\n- Trigger: Khách phản hồi về proposal\n- Auto actions:\n  + Alert sales manager\n  + Log negotiation notes\n  + Set decision deadline reminder\n\nSTAGE: CLOSED WON\n- Trigger: Deal marked won\n- Auto actions:\n  + Gửi email chào mừng khách hàng mới\n  + Tạo onboarding tasks\n  + Thêm vào customer success workflow\n  + Gửi thông báo cho finance\n  + Update revenue dashboard\n  + Xin referral (sau 30 ngày)\n\nSTAGE: CLOSED LOST\n- Trigger: Deal marked lost\n- Auto actions:\n  + Lưu lý do lost vào database\n  + Add vào win-back sequence (3 tháng sau)\n  + Notify manager nếu deal lớn\n  + Phân tích lost reason report\n\nPHẦN 2 - TASK AUTOMATION\n- Auto-create tasks theo stage\n- Reminder escalation nếu quá hạn\n- Daily task digest cho sales\n- Manager escalation rules\n\nPHẦN 3 - REPORTING AUTOMATION\n- Daily pipeline report → Zalo nhóm sales\n- Weekly revenue forecast → Email CEO\n- Monthly performance report → tự generate\n\nPHẦN 4 - IMPLEMENTATION GUIDE\n- Setup từng automation theo thứ tự ưu tiên\n- Testing plan\n- Training guide cho sales team	CRM,automation,pipeline,sales,workflow	0	5
aut-007	AUT-007 Email Marketing Automation	automation	Claude	Bạn là Email Marketing Automation Expert chuyên xây dựng hệ thống email tự động cho SME Việt Nam.\n\nThiết kế EMAIL MARKETING AUTOMATION hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Doanh nghiệp: [TÊN + NGÀNH]\n- ESP đang dùng: [MAILCHIMP / ACTIVE CAMPAIGN / SENDINBLUE / GETRESPONSE / CUSTOM]\n- Database hiện tại: [X contacts]\n- Mục tiêu: [NURTURE / ONBOARDING / RETENTION / REACTIVATION]\n- Sản phẩm/dịch vụ: [MÔ TẢ]\n- Tool kết nối: [MAKE / ZAPIER / NATIVE INTEGRATION]\n\nPHẦN 1 - EMAIL AUTOMATION ARCHITECTURE\n\nCÁC SEQUENCE CẦN XÂY DỰNG:\n\nSEQUENCE 1: WELCOME SERIES (Mới đăng ký)\nEmail 1 (Ngay lập tức): Welcome + Deliver freebie\nEmail 2 (Ngày 2): Brand story + Value\nEmail 3 (Ngày 4): Education tip\nEmail 4 (Ngày 7): Social proof\nEmail 5 (Ngày 10): Soft offer\nEmail 6 (Ngày 14): Overcome objections\nEmail 7 (Ngày 21): Direct offer\n\nSEQUENCE 2: NURTURE SERIES (Leads chưa mua)\nTần suất: 2 emails/tuần × 4 tuần\nContent mix: 70% value - 30% offer\n\nSEQUENCE 3: ONBOARDING (Khách hàng mới)\nEmail 1: Confirm purchase + next steps\nEmail 3: Getting started guide\nEmail 7: Check-in + first value milestone\nEmail 14: Advanced tips\nEmail 30: Success story + upsell seed\n\nSEQUENCE 4: RE-ENGAGEMENT (Inactive 60+ ngày)\nEmail 1: "Chúng tôi nhớ anh/chị"\nEmail 2: New value/update\nEmail 3: Special offer\nEmail 4: Last chance\nEmail 5: Unsubscribe hoặc preference update\n\nPHẦN 2 - SEGMENTATION AUTOMATION\n\nSEGMENT TỰ ĐỘNG THEO:\n- Hành vi: opened / clicked / purchased / no-open-30-days\n- Demographic: ngành, địa lý, quy mô\n- Purchase history: first-time / repeat / high-value\n- Engagement score: active / warm / cold\n\nTRIGGER-BASED EMAILS:\n- Birthday email (nếu có ngày sinh)\n- Anniversary email (ngày mua đầu tiên)\n- Behavior trigger: xem trang giá 3 lần → email offer\n- Cart abandonment (nếu có ecommerce)\n\nPHẦN 3 - AUTOMATION RULES\n\nIF/THEN LOGIC:\n- IF mở email X nhưng không click → gửi email follow-up\n- IF click link pricing → assign hot lead tag → notify sales\n- IF không mở 30 ngày → chuyển sang re-engagement\n- IF mua rồi → remove khỏi promotional sequence\n\nPHẦN 4 - TEMPLATE EMAILS\nCung cấp template cho mỗi email trong sequence:\n- Subject line (A/B test versions)\n- Preview text\n- Body structure\n- CTA\n\nPHẦN 5 - DELIVERABILITY CHECKLIST\n- SPF, DKIM, DMARC setup\n- List hygiene rules\n- Sending frequency best practices\n- Spam word avoidance	email,automation,marketing,sequence,nurture	0	5
aut-008	AUT-008 Zalo Automation	automation	Claude	Bạn là Zalo OA Automation Expert chuyên xây dựng hệ thống Zalo tự động cho SME Việt Nam.\n\nThiết kế ZALO AUTOMATION SYSTEM hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Doanh nghiệp: [TÊN + NGÀNH]\n- Zalo OA đang có: [CÓ / CHƯA CÓ]\n- Mục tiêu automation: [LEAD NURTURE / CUSTOMER SUPPORT / BROADCAST / CHATBOT]\n- Database contacts: [X số điện thoại]\n- Tool integration: [MAKE / N8N / ZALO API TRỰC TIẾP]\n- Budget ZNS/tháng: [X đồng]\n\nPHẦN 1 - ZALO OA AUTOMATION ARCHITECTURE\n\nCÁC AUTOMATION CẦN BUILD:\n\nAUTO 1: WELCOME MESSAGE\nTrigger: Người dùng follow OA lần đầu\nAction:\n- Gửi welcome message với menu\n- Add vào segment "new follower"\n- Notify team nếu là hot lead\nTemplate message: [Viết đầy đủ]\n\nAUTO 2: KEYWORD TRIGGER\nTrigger: Người dùng nhắn keyword cụ thể\nKeywords → Responses:\n- "giá", "báo giá" → gửi bảng giá\n- "liên hệ", "tư vấn" → gửi thông tin + notify sales\n- "địa chỉ" → gửi location\n- "khiếu nại", "hỏng" → escalate to support\n[Thêm theo ngành]\n\nAUTO 3: BROADCAST SEQUENCE\nSegment targeting:\n- Broadcast 1: Tất cả followers - thứ 2 8h sáng\n- Broadcast 2: Khách đã mua - offer exclusive\n- Broadcast 3: Cold followers - re-engagement\nTemplate ZNS và OA broadcast\n\nAUTO 4: ZNS AUTOMATION\nCác loại ZNS cần setup:\n- ZNS xác nhận đơn hàng\n- ZNS nhắc lịch hẹn (trước 24h và 1h)\n- ZNS chăm sóc sau mua (ngày 3, 7, 30)\n- ZNS birthday/anniversary\n- ZNS flash sale (urgent)\nTemplate và timing cho từng loại\n\nAUTO 5: CHATBOT BASIC\nMenu cấu trúc 3 cấp:\nLevel 1: [Tư vấn sản phẩm | Hỗ trợ | Đặt hàng | Khác]\nLevel 2: [Submenu theo lựa chọn]\nLevel 3: [Action hoặc chuyển live agent]\nFallback khi không hiểu: [script]\n\nPHẦN 2 - ZALO INTEGRATION\n\nKẾT NỐI VỚI CRM:\n- Sync contacts Zalo ↔ CRM\n- Log tương tác Zalo vào CRM\n- Trigger CRM action từ Zalo\n\nKẾT NỐI VỚI GOOGLE SHEETS:\n- Log tất cả conversations\n- Export contact list\n- Import broadcast list\n\nPHẦN 3 - ZALO API SETUP\n- Đăng ký Zalo Developer account\n- Tạo Zalo App và lấy App ID\n- Webhook URL configuration\n- Access token management (refresh tự động)\n- Rate limits cần biết\n\nPHẦN 4 - COMPLIANCE\n- Quy định gửi ZNS của Zalo\n- Tần suất broadcast hợp lý\n- Opt-out handling\n- Content policy	zalo,automation,OA,ZNS,chatbot	0	5
aut-009	AUT-009 KPI Dashboard Automation	automation	Claude	Bạn là Business Intelligence Expert chuyên xây dựng dashboard KPI tự động cho SME Việt Nam.\n\nThiết kế KPI DASHBOARD AUTOMATION hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Doanh nghiệp: [TÊN + NGÀNH]\n- Bộ phận cần dashboard: [SALES / MARKETING / OPERATIONS / ALL]\n- Nguồn dữ liệu: [GOOGLE SHEETS / CRM / FACEBOOK ADS / GOOGLE ADS / WEBSITE / ...]\n- Công cụ dashboard: [GOOGLE LOOKER STUDIO / DATA STUDIO / GOOGLE SHEETS / NOTION]\n- Người xem: [CEO / MANAGER / TEAM]\n- Tần suất update: [REAL-TIME / HÀNG GIỜ / HÀNG NGÀY]\n\nPHẦN 1 - KPI ARCHITECTURE\n\nNORTH STAR METRIC:\n[1 chỉ số quan trọng nhất của doanh nghiệp]\n\nKPI THEO BỘ PHẬN:\n\nSALES KPIs:\n- Doanh thu thực tế vs. Target (hàng ngày)\n- Số deals closed\n- Pipeline value\n- Win rate\n- Average deal size\n- Sales cycle length\n- Activities per rep\n\nMARKETING KPIs:\n- Total leads by source\n- CPL (Cost per Lead) by channel\n- MQL → SQL conversion rate\n- Website traffic\n- Email open/click rates\n- Social media reach\n- ROAS by campaign\n\nOPERATIONS KPIs:\n- [Tùy ngành - điền vào]\n\nPHẦN 2 - DATA PIPELINE AUTOMATION\n\nAUTO-COLLECT DATA TỪ CÁC NGUỒN:\n\nFacebook Ads → Google Sheets:\n- Dùng Make/Zapier pull hàng ngày 7h sáng\n- Fields: Date, Campaign, Spend, Impressions, Clicks, Leads, CPL\n\nCRM → Google Sheets:\n- Pull deals mới, stage changes, revenue\n- Tần suất: real-time khi có thay đổi\n\nGoogle Analytics → Sheets:\n- Traffic, conversions, source/medium\n- Daily pull lúc 6h sáng\n\nPHẦN 3 - GOOGLE LOOKER STUDIO SETUP\n\nPAGE 1: CEO OVERVIEW\n- Revenue gauge (actual vs target)\n- Key metrics scorecard\n- Trend line 30 ngày\n- Alert khi KPI đỏ\n\nPAGE 2: SALES DETAIL\n- Pipeline funnel\n- Sales rep performance table\n- Deal activity heatmap\n\nPAGE 3: MARKETING DETAIL\n- Channel performance comparison\n- Lead source pie chart\n- Campaign ROI table\n\nPAGE 4: TREND ANALYSIS\n- MoM comparison\n- Forecasting chart\n\nPHẦN 4 - AUTOMATED REPORTING\n\nTING NHẮN ZALO HÀNG NGÀY (7h sáng):\n"📊 BÁO CÁO SÁNG {ngày}\nDoanh thu hôm qua: {X}đ ({%} vs target)\nLeads mới: {X}\nDeals closed: {X}\n🟢 On track | 🟡 Behind | 🔴 Critical"\n\nEMAIL REPORT HÀNG TUẦN:\n- Template PDF/Google Slides auto-generated\n- Gửi cho stakeholders mỗi thứ 2\n\nPHẦN 5 - ALERT SYSTEM\n- Alert khi KPI dưới ngưỡng X%\n- Alert khi có anomaly (tăng/giảm bất thường)\n- Escalation path cho từng alert	dashboard,KPI,analytics,automation,reporting	0	5
aut-010	AUT-010 AI Agent Design	automation	Claude	Bạn là AI Agent Architect chuyên thiết kế hệ thống AI Agent cho SME Việt Nam.\n\nThiết kế AI AGENT SYSTEM hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Mục tiêu của Agent: [MÔ TẢ NHIỆM VỤ]\n- Người dùng cuối: [KHÁCH HÀNG / NHÂN VIÊN / CEO]\n- Kênh triển khai: [ZALO / WEBSITE / FACEBOOK MESSENGER / INTERNAL TOOL]\n- Knowledge base: [TÀI LIỆU / DATABASE / API]\n- AI Model: [CLAUDE / GPT / GEMINI]\n- Integration cần thiết: [CRM / SHEETS / EMAIL / CALENDAR]\n\nPHẦN 1 - AGENT ARCHITECTURE\n\nLOAI AGENT:\n- [ ] Simple Q&A Bot (FAQ-based)\n- [ ] Task Completion Agent (thực hiện hành động)\n- [ ] Multi-step Reasoning Agent (phân tích + đề xuất)\n- [ ] Autonomous Agent (tự quyết định workflow)\n\nAGENT COMPONENTS:\n1. System Prompt (Persona + Instructions)\n2. Knowledge Base (RAG / hardcoded)\n3. Tools/Functions (APIs agent có thể gọi)\n4. Memory (context window / external memory)\n5. Output formatter\n\nPHẦN 2 - SYSTEM PROMPT DESIGN\n\nTEMPLATE SYSTEM PROMPT:\n"Bạn là [TÊN AGENT] - [ROLE] của [CÔNG TY].\n\nNHIỆM VỤ:\n[Mô tả chi tiết những gì agent cần làm]\n\nTÍNH CÁCH & TONE:\n[Formal/Friendly, ngôn ngữ Việt/Anh/Song ngữ]\n\nKHẢ NĂNG:\n- Bạn CÓ THỂ: [list]\n- Bạn KHÔNG thể: [list - guardrails]\n\nKIẾN THỨC:\n[Tóm tắt knowledge base]\n\nQUY TRÌNH XỬ LÝ:\n1. [Bước 1]\n2. [Bước 2]\n3. [Escalate khi nào]\n\nFORMAT PHẢN HỒI:\n[Cách format output]\n\nXỬ LÝ TÌNH HUỐNG ĐẶC BIỆT:\n- Nếu không biết: [response]\n- Nếu nhạy cảm: [response]\n- Nếu cần escalate: [response]"\n\nPHẦN 3 - TOOLS DESIGN\n\nMỖI TOOL CẦN ĐỊNH NGHĨA:\nTool name: [tên]\nMục đích: [mô tả]\nInput params: [{param: type, description}]\nOutput: [format]\nWhen to use: [điều kiện]\nAPI endpoint / Function: [code hoặc URL]\n\nCÁC TOOLS PHỔ BIẾN:\n- search_knowledge_base(query)\n- get_customer_info(phone/email)\n- create_ticket(title, description, priority)\n- check_availability(date, service)\n- send_notification(channel, message)\n- update_crm(contact_id, field, value)\n\nPHẦN 4 - CONVERSATION FLOW\n\nHAPPY PATH:\nUser → Agent xử lý → Tool call (nếu cần) → Response\n\nEDGE CASES:\n- Ambiguous input: clarification question\n- Out of scope: graceful redirect\n- Sensitive: escalate to human\n- Error in tool: fallback response\n\nPHẦN 5 - EVALUATION FRAMEWORK\n- Test cases (20 scenarios)\n- Metrics: accuracy, response time, CSAT\n- A/B test system prompts\n- Continuous improvement process\n\nPHẦN 6 - DEPLOYMENT\n- API integration code snippets\n- Rate limiting strategy\n- Cost estimation (tokens/month)\n- Monitoring và logging	AI-agent,LLM,automation,chatbot,Claude	0	5
