id	title	category	tool	content	tags	uses	rating
sal-001	SAL-001 Discovery Call	sales	Claude	Bạn là Sales Consultant chuyên dẫn dắt Discovery Call cho doanh nghiệp SME Việt Nam.\n\nTạo KỊCH BẢN DISCOVERY CALL hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Sản phẩm/dịch vụ đang bán: [MÔ TẢ]\n- Đối tượng khách hàng: [ICP - chức danh, ngành, quy mô]\n- Thời lượng call: [20 / 30 / 45 phút]\n- Mục tiêu của call này: [BOOK DEMO / GỬI PROPOSAL / CHỐT NGAY]\n\nKỊCH BẢN ĐẦY ĐỦ:\n\n[PHÚT 0-3] MỞ ĐẦU - XÂY DỰNG RAPPORT\n- Câu mở đầu tạo không khí thoải mái\n- Small talk phù hợp văn hóa Việt\n- Xác nhận thời gian và agenda của call\n- Câu hỏi permission: "Được phép hỏi thẳng một vài câu không anh/chị?"\n\n[PHÚT 3-15] KHÁM PHÁ - DISCOVERY QUESTIONS\n10 câu hỏi theo framework SPIN:\n- Situation (4 câu): Hiểu bức tranh hiện tại\n- Problem (3 câu): Khai thác vấn đề đang gặp\n- Implication (2 câu): Làm rõ hậu quả nếu không giải quyết\n- Need-payoff (1 câu): Dẫn đến giải pháp\n\nMỗi câu hỏi: Script đầy đủ + Cách lắng nghe + Follow-up nếu câu trả lời ngắn\n\n[PHÚT 15-25] TRÌNH BÀY GIÁ TRỊ\n- Tóm tắt những gì vừa nghe được (mirror technique)\n- Kết nối pain point với giải pháp\n- Chia sẻ 1 case study khách hàng tương tự\n- Demo/giới thiệu ngắn phù hợp với vấn đề họ nêu\n\n[PHÚT 25-30] NEXT STEPS\n- Hỏi thẳng về mức độ quan tâm (1-10)\n- Xử lý nếu họ do dự\n- Đề xuất next step cụ thể\n- Confirm lịch follow-up\n\nTEMPLATE XỬ LÝ TÌNH HUỐNG KHÓ:\n- Khách hàng không nói nhiều: [script]\n- Khách hàng nói họ đang dùng đối thủ: [script]\n- Khách hàng hỏi giá ngay: [script]\n- Khách hàng nói không có thời gian: [script]\n\nCHECKLIST TRƯỚC CALL:\n- Research khách hàng (5 điểm cần biết)\n- Chuẩn bị tài liệu\n- Test kỹ thuật	discovery-call,sales,script,B2B,SME	0	5
sal-002	SAL-002 Qualification Script	sales	Claude	Bạn là Sales Manager chuyên xây dựng quy trình qualification leads cho SME Việt Nam.\n\nTạo BỘ TIÊU CHÍ VÀ SCRIPT QUALIFICATION hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Sản phẩm/dịch vụ: [MÔ TẢ + GIÁ]\n- ICP (Ideal Customer Profile): [MÔ TẢ]\n- Kênh lead đến: [FACEBOOK / ZALO / WEBSITE / REFERRAL / COLD CALL]\n- Thời gian sales cycle trung bình: [X ngày/tuần]\n\nPHẦN 1 - BẢNG TIÊU CHÍ BANT\nBudget:\n- Câu hỏi để hỏi: [script]\n- Dấu hiệu có ngân sách: [list]\n- Dấu hiệu ngân sách không phù hợp: [list]\n- Điểm: 0-3\n\nAuthority:\n- Câu hỏi xác định người quyết định: [script]\n- Cách tiếp cận khi người nghe không phải decision maker: [script]\n- Điểm: 0-3\n\nNeed:\n- Câu hỏi khai thác nhu cầu thực: [script]\n- Phân biệt need vs. want: [hướng dẫn]\n- Điểm: 0-3\n\nTimeline:\n- Câu hỏi về thời gian triển khai: [script]\n- Cách tạo urgency nếu timeline mơ hồ: [script]\n- Điểm: 0-3\n\nPHẦN 2 - LEAD SCORING MATRIX\nBảng điểm: Tiêu chí | Câu hỏi | Điểm tối đa | Cách chấm\nTổng điểm:\n- 10-12: Hot lead - ưu tiên số 1, follow up trong 24h\n- 7-9: Warm lead - nurture 7-14 ngày\n- 4-6: Cold lead - đưa vào email sequence\n- 0-3: Disqualify - lịch sự từ chối\n\nPHẦN 3 - QUALIFICATION SCRIPT (5 phút)\nScript đầy đủ word-by-word:\n- Mở đầu + xác nhận context\n- 8 câu hỏi qualification theo thứ tự tự nhiên\n- Cách ghi chép trong khi hỏi\n- Câu kết thúc và next step theo từng nhóm điểm\n\nPHẦN 4 - DISQUALIFICATION SCRIPT\nCách từ chối khéo léo giữ quan hệ tốt:\n- Template email/message từ chối lịch sự\n- Cách giới thiệu sang đối tác phù hợp hơn\n- Cách để ngỏ cho tương lai	qualification,leads,BANT,scoring,pipeline	0	5
sal-003	SAL-003 Sales Presentation	sales	Claude	Bạn là Sales Trainer chuyên xây dựng bài thuyết trình bán hàng thuyết phục cho SME Việt Nam.\n\nTạo SALES PRESENTATION hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Sản phẩm/dịch vụ: [TÊN + MÔ TẢ]\n- Giá: [GIÁ / GÓI]\n- Đối tượng nghe: [CHỨC DANH + NGÀNH]\n- Pain point đã biết từ discovery: [LIST PAIN POINTS]\n- Thời lượng: [15 / 30 / 45 phút]\n- Format: [ONLINE / OFFLINE / SLIDE / DEMO]\n\nCẤU TRÚC PRESENTATION:\n\nSLIDE 1 - AGENDA (1 phút)\n- Script mở đầu tạo credibility ngay\n- Điều khách hàng sẽ nhận được sau buổi này\n- Quy tắc: ngắt, hỏi bất cứ lúc nào\n\nSLIDE 2-3 - MIRROR PAIN POINTS (3 phút)\n- Script: "Qua buổi trao đổi trước, tôi hiểu anh/chị đang..."\n- Liệt kê lại đúng vấn đề của họ (không phải vấn đề chung)\n- Quantify thiệt hại nếu không giải quyết\n\nSLIDE 4-5 - THE BIG IDEA (5 phút)\n- Introduce giải pháp với tên gọi hấp dẫn\n- Cơ chế hoạt động (The Mechanism) - tại sao khác biệt\n- Trước/sau khi dùng giải pháp\n\nSLIDE 6-8 - PROOF (5 phút)\n- Case study 1: Khách hàng tương tự + kết quả số liệu cụ thể\n- Case study 2: Ngành/quy mô tương tự\n- Testimonial ngắn (video/quote)\n\nSLIDE 9-10 - DEMO / WALKTHROUGH (10 phút)\n- Script dẫn dắt demo theo flow: vấn đề > giải pháp > kết quả\n- Câu hỏi tương tác trong khi demo\n- Điểm nhấn tính năng phù hợp với pain point của họ\n\nSLIDE 11 - PRICING & OFFER (5 phút)\n- Cách present giá (anchor cao trước)\n- Các gói và sự khác biệt\n- ROI calculator nếu có\n- Offer đặc biệt nếu quyết định hôm nay\n\nSLIDE 12 - NEXT STEPS (2 phút)\n- CTA rõ ràng\n- Xử lý "để suy nghĩ thêm"\n- Confirm lịch quyết định\n\nXỬ LÝ TÌNH HUỐNG TRONG KHI PRESENT:\n- Khách ngắt ngang hỏi giá sớm: [script]\n- Khách so sánh với đối thủ: [script]\n- Khách tỏ ra không quan tâm: [script]\n- Khách hỏi discount: [script]	presentation,sales,pitch,demo,B2B	0	5
sal-004	SAL-004 Objection Handling	sales	Claude	Bạn là Sales Coach chuyên xử lý objection cho đội ngũ bán hàng SME Việt Nam.\n\nTạo BỘ XỬ LÝ OBJECTION hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Sản phẩm/dịch vụ: [MÔ TẢ + GIÁ]\n- Top 3 objection hay gặp nhất: [LIỆT KÊ]\n- Đối tượng khách hàng: [ICP]\n- Kênh bán: [CALL / MEETING / ZALO / EMAIL]\n\nXỬ LÝ 10 OBJECTION PHỔ BIẾN NHẤT:\n\nMỖI OBJECTION bao gồm:\n- Script phản hồi đầy đủ (không ngắn gọn)\n- Tâm lý đằng sau objection này\n- Câu hỏi để đào sâu hơn\n- Cách chốt sau khi xử lý xong\n- Dấu hiệu objection thật vs. objection che đậy\n\n1. "GIÁ CAO QUÁ / ĐẮT QUÁ"\nScript xử lý + reframe về giá trị + ROI calculator\n\n2. "ĐỂ SUY NGHĨ THÊM / ĐỂ BÀN VỚI VỢ/CHỒNG/GIÁM ĐỐC"\nScript xử lý + cách biết lý do thật + tạo urgency tự nhiên\n\n3. "MÌNH ĐANG DÙNG BÊN KHÁC RỒI"\nScript xử lý + so sánh không công kích + tạo FOMO\n\n4. "KHÔNG CÓ NGÂN SÁCH / HẾT BUDGET"\nScript xử lý + payment plan + ROI justification\n\n5. "CHƯA CẦN / CHƯA PHẢI LÚC"\nScript xử lý + cost of delay + tạo urgency\n\n6. "CHO TÔI XEM THÊM TÀI LIỆU ĐÃ"\nScript xử lý + biết đây là delay tactic + cách dẫn về meeting\n\n7. "SẢN PHẨM CỦA BẠN CÓ TỐT KHÔNG / CHỨNG MINH ĐI"\nScript xử lý + social proof + guarantee\n\n8. "TÔI BIẾT NGƯỜI BÁN GIÁ RẺ HƠN"\nScript xử lý + differentiation + value stack\n\n9. "CÔNG TY BẠN NHỎ / MỚI QUÁ"\nScript xử lý + credibility building + case studies\n\n10. "GỌI LẠI SAU / THÁNG SAU NHÉ"\nScript xử lý + xác định timeline thật + follow-up commitment\n\nFRAMEWORK TỔNG QUÁT XỬ LÝ OBJECTION:\nBước 1: Acknowledge (đồng cảm, không phản bác)\nBước 2: Clarify (hỏi để hiểu objection thật)\nBước 3: Reframe (thay đổi góc nhìn)\nBước 4: Respond (trả lời với proof)\nBước 5: Confirm (hỏi lại để chắc chắn)\nBước 6: Close (đề xuất next step)\n\nROLE-PLAY SCENARIOS:\n3 kịch bản thực hành kèm đáp án mẫu	objection,handling,sales,closing,script	0	5
sal-005	SAL-005 Follow Up After Meeting	sales	Claude	Bạn là Sales Specialist chuyên viết follow-up sau meeting để tăng tỷ lệ chốt deal cho SME Việt Nam.\n\nViết BỘ FOLLOW-UP SAU MEETING cho:\n\nTHÔNG TIN:\n- Sản phẩm/dịch vụ: [MÔ TẢ]\n- Nội dung buổi meeting vừa diễn ra: [TÓM TẮT NGẮN]\n- Những điểm khách quan tâm: [LIST]\n- Objection chưa xử lý hết: [NẾU CÓ]\n- Next step đã thống nhất: [ACTION ITEMS]\n- Deadline quyết định của khách: [NGÀY]\n\nTẠO 3 PHIÊN BẢN FOLLOW-UP:\n\nPHIÊN BẢN 1 - EMAIL FOLLOW-UP (Gửi trong 2h sau meeting)\nSubject line: [3 phiên bản A/B]\nCấu trúc:\n- Cảm ơn + điểm highlight của buổi meeting\n- Tóm tắt những gì đã thảo luận (mirror lại pain points)\n- Giải pháp đề xuất phù hợp với vấn đề họ nêu\n- Xử lý thêm 1-2 objection còn lại\n- Tài liệu đính kèm gợi ý\n- Next step + CTA rõ ràng + deadline\n- Chữ ký chuyên nghiệp\n\nPHIÊN BẢN 2 - ZALO/SMS FOLLOW-UP (Gửi ngay sau email)\n150-200 chữ, thân thiện, có emoji phù hợp\n- Xác nhận đã gửi email\n- 1 điểm value nhấn mạnh\n- CTA đơn giản\n\nPHIÊN BẢN 3 - LINKEDIN/FACEBOOK MESSAGE\n100-150 chữ\n- Professional tone\n- Tag nội dung liên quan\n- CTA soft\n\nSEQUENCE FOLLOW-UP 7 NGÀY:\n- Ngày 1 (2h sau meeting): Email chi tiết + Zalo ngắn\n- Ngày 2: Chia sẻ case study liên quan\n- Ngày 4: Check-in nhẹ nhàng + hỏi câu hỏi\n- Ngày 7: Follow-up cuối + urgency nếu có deadline\n\nDẤU HIỆU ĐỂ ĐIỀU CHỈNH MESSAGING:\n- Nếu họ đọc email nhưng không reply: [template]\n- Nếu họ reply hỏi thêm: [template]\n- Nếu họ im lặng hoàn toàn: [template]	follow-up,meeting,email,sales,pipeline	0	5
sal-006	SAL-006 Follow Up No Response	sales	Claude	Bạn là Sales Expert chuyên tái kích hoạt leads im lặng cho SME Việt Nam.\n\nTạo CHUỖI FOLLOW-UP KHI KHÔNG CÓ PHẢN HỒI hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Sản phẩm/dịch vụ: [MÔ TẢ]\n- Lần liên hệ trước: [NGÀY + NỘI DUNG]\n- Đã gửi bao nhiêu lần không có phản hồi: [SỐ LẦN]\n- Kênh đã thử: [EMAIL / ZALO / CALL / FACEBOOK]\n- Lead này đến từ đâu: [NGUỒN]\n\nCHUỖI 7 TOUCHPOINT - "BREAK-UP SEQUENCE":\n\nTOUCHPOINT 1 - VALUE ADD (Ngày 3 sau lần đầu)\nKhông nhắc đến sale, chỉ gửi giá trị:\n- Email/Zalo: Chia sẻ 1 insight/tip hữu ích liên quan đến business của họ\n- Subject: [không liên quan đến offer]\n- Nội dung: 100-150 chữ, không CTA bán hàng\n\nTOUCHPOINT 2 - CASE STUDY (Ngày 7)\n- Kể chuyện khách hàng tương tự họ đã giải quyết vấn đề\n- Kết quả cụ thể bằng số\n- CTA nhẹ: "Anh/chị có muốn nghe thêm không?"\n\nTOUCHPOINT 3 - CUỘC GỌI NGẮN (Ngày 10)\n- Script cuộc gọi 2 phút\n- Voicemail nếu không bắt máy\n- SMS ngay sau cuộc gọi\n\nTOUCHPOINT 4 - PAIN POINT CONTENT (Ngày 14)\n- Bài viết/video liên quan đến pain point của họ\n- Personalized message: "Nghĩ đến anh/chị khi đọc bài này"\n\nTOUCHPOINT 5 - OFFER/UPDATE (Ngày 21)\n- Thông báo về thay đổi offer, giá, tính năng mới\n- Tạo FOMO tự nhiên\n\nTOUCHPOINT 6 - SOCIAL PROOF (Ngày 28)\n- Testimonial mới từ khách hàng trong ngành họ\n- "Khách hàng X vừa đạt Y kết quả với..."\n\nTOUCHPOINT 7 - BREAK-UP EMAIL (Ngày 35)\nCâu chốt cuối cùng - tạo phản ứng:\n- Subject: "Tôi sẽ dừng liên hệ sau email này"\n- Nội dung thẳng thắn, tôn trọng\n- Mở cửa cho họ quay lại sau\n- Tỷ lệ reply của dạng email này thường cao nhất\n\nTEMPLATE CHO TỪNG KÊNH:\n- Email: Subject + body đầy đủ\n- Zalo: Tin nhắn ngắn tự nhiên\n- LinkedIn: Message chuyên nghiệp\n- Call script: Mở đầu + body + close	follow-up,no-response,reactivation,sequence,leads	0	5
sal-007	SAL-007 Proposal Generator	sales	Claude	Bạn là Business Development Expert chuyên viết proposal thuyết phục cho SME Việt Nam.\n\nTạo PROPOSAL CHUYÊN NGHIỆP hoàn chỉnh cho:\n\nTHÔNG TIN KHÁCH HÀNG:\n- Tên công ty: [TÊN]\n- Người nhận proposal: [TÊN + CHỨC DANH]\n- Ngành: [NGÀNH]\n- Quy mô: [SỐ NHÂN VIÊN / DOANH THU]\n- Pain points đã biết: [LIST TỪ DISCOVERY]\n- Mục tiêu họ muốn đạt: [MỤC TIÊU]\n\nTHÔNG TIN GIẢI PHÁP:\n- Sản phẩm/dịch vụ đề xuất: [MÔ TẢ]\n- Gói/phương án: [GÓI 1 / GÓI 2 / GÓI 3]\n- Giá: [BẢNG GIÁ]\n- Timeline triển khai: [X tuần/tháng]\n\nCẤU TRÚC PROPOSAL (10-15 trang):\n\nTRANG 1 - BÌA & EXECUTIVE SUMMARY\n- Tiêu đề hấp dẫn (không phải "Proposal for...")\n- 3-5 câu tóm tắt toàn bộ proposal\n- Ngày + thời hạn hiệu lực\n\nTRANG 2 - HIỂU VẤN ĐỀ CỦA KHÁCH HÀNG\n- Mirror lại chính xác những gì họ chia sẻ\n- Quantify vấn đề (thiệt hại/chi phí/thời gian)\n- Cho thấy bạn thực sự lắng nghe\n\nTRANG 3 - GIẢI PHÁP ĐỀ XUẤT\n- Tên giải pháp + mô tả ngắn\n- Tại sao phù hợp với họ cụ thể\n- Phương pháp/quy trình triển khai\n\nTRANG 4-5 - CHI TIẾT GIẢI PHÁP\n- Các hạng mục cụ thể\n- Deliverables rõ ràng\n- Timeline với milestones\n\nTRANG 6 - CASE STUDY TƯƠNG TỰ\n- 1-2 khách hàng tương tự đã làm việc\n- Kết quả đạt được bằng số\n- Quote/testimonial nếu có\n\nTRANG 7 - BẢNG GIÁ\n- Trình bày 2-3 gói rõ ràng\n- So sánh features theo bảng\n- Recommended package được highlight\n- Note về những gì KHÔNG bao gồm\n\nTRANG 8 - ROI CALCULATOR\n- Chi phí hiện tại của vấn đề\n- Chi phí đầu tư giải pháp\n- ROI dự kiến + payback period\n\nTRANG 9 - TẠI SAO CHỌN CHÚNG TÔI\n- 3-5 điểm khác biệt cụ thể\n- Credentials + kinh nghiệm\n- Guarantee/cam kết\n\nTRANG 10 - NEXT STEPS\n- Quy trình ký kết đơn giản\n- Điều kiện để bắt đầu\n- CTA + deadline\n\nLƯU Ý VIẾT PROPOSAL:\n- Dùng "Anh/Chị [TÊN]" không phải "Quý khách"\n- Số liệu cụ thể hơn tính từ mơ hồ\n- Font, spacing, visual guide	proposal,B2B,sales,document,pitch	0	5
sal-008	SAL-008 Quotation Generator	sales	Claude	Bạn là Sales Operations Specialist chuyên tạo báo giá chuyên nghiệp cho SME Việt Nam.\n\nTạo BÁO GIÁ CHUYÊN NGHIỆP hoàn chỉnh cho:\n\nTHÔNG TIN GIAO DỊCH:\n- Công ty khách hàng: [TÊN + ĐỊA CHỈ + MST]\n- Người liên hệ: [TÊN + CHỨC DANH + EMAIL + SĐT]\n- Sản phẩm/dịch vụ yêu cầu: [LIST]\n- Số lượng: [SỐ LƯỢNG TỪNG MỤC]\n- Điều kiện đặc biệt: [DISCOUNT / PAYMENT TERMS / DELIVERY]\n\nCẤU TRÚC BÁO GIÁ:\n\nPHẦN HEADER:\n- Logo + thông tin công ty bên bán\n- Số báo giá (tự tạo format: BG-[NĂM]-[SỐ THỨ TỰ])\n- Ngày lập + ngày hết hạn (30 ngày mặc định)\n- Thông tin khách hàng\n\nBẢNG GIÁ CHI TIẾT:\nSTT | Tên SP/DV | Mô tả ngắn | Đơn vị | Số lượng | Đơn giá | Thành tiền | Ghi chú\n[Điền theo thông tin đầu vào]\n\nPHẦN TỔNG HỢP:\n- Tổng tiền hàng\n- Discount (nếu có): [%] = [số tiền]\n- Thuế VAT [%]: [số tiền]\n- Tổng cộng thanh toán\n- Chữ viết bằng chữ\n\nĐIỀU KHOẢN & ĐIỀU KIỆN:\n- Điều khoản thanh toán: [trả trước X% / COD / NET30]\n- Thời gian giao hàng/triển khai: [X ngày làm việc]\n- Bảo hành/hậu mãi: [điều kiện]\n- Điều kiện áp dụng giá này\n- Thời hạn hiệu lực báo giá\n\nLƯU Ý VÀ GHI CHÚ:\n- Những gì bao gồm trong giá\n- Những gì KHÔNG bao gồm (quan trọng - tránh tranh chấp)\n- Điều kiện phát sinh thêm phí\n\nCTA VÀ NEXT STEP:\n- Hướng dẫn xác nhận báo giá\n- Thông tin liên hệ khi có câu hỏi\n- Link/QR thanh toán nếu có\n\nEMAIL GỬI KÈM BÁO GIÁ:\nSubject: [3 phiên bản]\nBody email chuyên nghiệp kèm báo giá:\n- Cảm ơn + reference buổi meeting/cuộc gọi\n- Highlight 2-3 điểm nổi bật của báo giá\n- CTA rõ ràng + deadline\n- P.S. với ưu đãi nếu xác nhận sớm\n\nFOLLOW-UP SEQUENCE SAU BÁO GIÁ:\n- Ngày 3: Check xem đã nhận chưa\n- Ngày 7: Hỏi câu hỏi\n- Ngày 14: Final reminder trước hết hạn	quotation,pricing,B2B,sales,document	0	5
sal-009	SAL-009 Closing Script	sales	Claude	Bạn là Sales Closer chuyên chốt đơn hàng cho SME Việt Nam.\n\nTạo BỘ CLOSING SCRIPT hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Sản phẩm/dịch vụ: [MÔ TẢ + GIÁ]\n- Giai đoạn hiện tại của deal: [DEMO XONG / ĐÃ GỬI PROPOSAL / ĐANG ĐÀM PHÁN]\n- Objection cuối cùng còn lại: [NẾU CÓ]\n- Deadline tự nhiên của khách: [NẾU CÓ]\n- Đã offer gì: [OFFER HIỆN TẠI]\n\nPHẦN 1 - 7 KỸ THUẬT CHỐT SALE\nMỖI KỸ THUẬT: Tên + Khi nào dùng + Script đầy đủ + Ví dụ cụ thể\n\n1. ASSUMPTIVE CLOSE\n"Anh/chị muốn bắt đầu vào thứ 2 hay thứ 4 tuần này?"\n\n2. SUMMARY CLOSE\nTóm tắt lại toàn bộ giá trị trước khi close\n\n3. URGENCY CLOSE\nTạo urgency thật (không fake) dựa trên giới hạn thật\n\n4. ALTERNATIVE CLOSE\n"Anh/chị muốn gói A hay gói B?" - không có option không mua\n\n5. PUPPY DOG CLOSE\n"Dùng thử 7 ngày không cần thanh toán trước"\n\n6. FEAR OF LOSS CLOSE\n"Slot tháng này chỉ còn X chỗ..."\n\n7. DIRECT CLOSE\n"Anh/chị có sẵn sàng bắt đầu hôm nay không?"\n\nPHẦN 2 - CLOSING CONVERSATION SCRIPT\nScript đầy đủ cho cuộc gọi/meeting chốt:\n\n[Mở đầu - 2 phút]\n- Re-confirm pain points\n- Kết nối với solution\n\n[Recap value - 3 phút]\n- Tóm tắt những gì họ nhận được\n- Nhắc lại case study tương tự\n- ROI estimate\n\n[The Ask - 1 phút]\n- Câu close trực tiếp\n- Im lặng sau khi hỏi (ai nói trước sẽ thua)\n\n[Handle final objection - 5 phút]\n- Scripts cho từng tình huống\n\n[Paperwork/Payment - 2 phút]\n- Dẫn dắt đến bước thanh toán/ký hợp đồng\n- Làm cho bước này dễ dàng nhất có thể\n\nPHẦN 3 - SAU KHI CHỐT ĐƯỢC\n- Câu nói ngay sau khi họ đồng ý (tránh buyer's remorse)\n- Onboarding ngay lập tức\n- Referral ask timing\n\nPHẦN 4 - KHI KHÔNG CHỐT ĐƯỢC\n- Graceful exit\n- Rebook follow-up\n- Breakup message nếu cần	closing,script,sales,conversion,chốt-đơn	0	5
sal-010	SAL-010 Upsell Script	sales	Claude	Bạn là Revenue Growth Specialist chuyên tối ưu upsell cho SME Việt Nam.\n\nTạo BỘ UPSELL SCRIPT hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Sản phẩm/dịch vụ khách đang dùng: [MÔ TẢ + GIÁ HIỆN TẠI]\n- Sản phẩm/dịch vụ muốn upsell: [MÔ TẢ + GIÁ MỚI]\n- Thời điểm upsell: [MỚI MUA / SAU X NGÀY / KHI CÓ DẤU HIỆU]\n- Lý do upsell phù hợp với khách này: [LÝ DO]\n\nPHẦN 1 - TIMING MATRIX\nKhi nào nên upsell:\n- Dấu hiệu khách đang dùng nhiều/hài lòng: [list]\n- Dấu hiệu khách đang growth: [list]\n- Dấu hiệu khách cần thêm: [list]\n- Timing tốt nhất trong ngày/tuần: [gợi ý]\n- Timing KHÔNG nên upsell: [list tránh]\n\nPHẦN 2 - UPSELL SCRIPTS THEO KÊNH\n\nSCRIPT CALL/MEETING:\n[Mở đầu - không nhắc upsell ngay]\n- Hỏi thăm kết quả đang dùng\n- Khám phá thêm vấn đề/mục tiêu mới\n- Bridge tự nhiên sang upsell\n- Present upsell như là "bước tiếp theo logic"\n- Handle objection về chi phí thêm\n- Close\n\nSCRIPT EMAIL UPSELL:\nSubject: [3 phiên bản]\n- Trigger: kết quả của họ + cơ hội tiếp theo\n- Present upgrade ngắn gọn\n- ROI của việc nâng cấp\n- Offer ưu đãi loyalty\n- CTA rõ ràng\n\nSCRIPT ZALO UPSELL:\n100-150 chữ, thân thiện\n- Reference kết quả đã đạt\n- Gợi ý bước tiếp theo\n- Soft CTA\n\nPHẦN 3 - UPSELL OFFER STACK\n- Cách đóng gói upsell hấp dẫn\n- Loyalty discount cho khách hiện tại\n- Bonus khi nâng cấp\n- Smooth transition (không mất gì từ gói cũ)\n\nPHẦN 4 - XỬ LÝ OBJECTION UPSELL\n- "Đang dùng gói này tốt rồi": [script]\n- "Tốn thêm tiền quá": [script]\n- "Để xem đã": [script]\n- "Gói mới có khác gì không": [script]\n\nPHẦN 5 - UPSELL TRACKING\n- Metrics cần theo dõi\n- Tỷ lệ upsell conversion benchmark\n- Cách improve upsell rate	upsell,revenue,expansion,customer-success,LTV	0	5
