id	title	category	tool	content	tags	uses	rating
mkt-001	MKT-001 Kế hoạch Marketing 90 ngày	marketing	Claude	Bạn là chuyên gia Marketing Strategy với 15 năm kinh nghiệm tăng trưởng doanh nghiệp SME tại Việt Nam.\n\nHãy xây dựng KẾ HOẠCH MARKETING 90 NGÀY hoàn chỉnh cho doanh nghiệp sau:\n\nTHÔNG TIN DOANH NGHIỆP:\n- Tên/ngành: [TÊN DOANH NGHIỆP / NGÀNH]\n- Sản phẩm/dịch vụ chính: [MÔ TẢ SẢN PHẨM]\n- Target khách hàng: [ĐỐI TƯỢNG MỤC TIÊU]\n- Ngân sách marketing/tháng: [NGÂN SÁCH]\n- Mục tiêu doanh thu 90 ngày: [MỤC TIÊU]\n- Điểm mạnh hiện tại: [ĐIỂM MẠNH]\n- Thách thức lớn nhất: [THÁCH THỨC]\n\nYÊU CẦU OUTPUT:\n\nGIAI ĐOẠN 1 - THÁNG 1: NỀN TẢNG (Ngày 1-30)\n- 3 ưu tiên chiến lược\n- Kênh marketing trọng tâm\n- Content plan tuần 1-4\n- KPI cần đạt cuối tháng 1\n- Budget allocation chi tiết\n\nGIAI ĐOẠN 2 - THÁNG 2: TĂNG TỐC (Ngày 31-60)\n- Chiến thuật scale dựa trên data tháng 1\n- Campaign chạy trong tháng\n- Automation cần thiết lập\n- KPI cần đạt cuối tháng 2\n\nGIAI ĐOẠN 3 - THÁNG 3: TỐI ƯU (Ngày 61-90)\n- Tối ưu funnel dựa trên 60 ngày data\n- Kênh/chiến thuật cần nhân rộng\n- Chuẩn bị cho quý tiếp theo\n- KPI tổng kết 90 ngày\n\nDASHBOARD THEO DÕI:\nTạo bảng: Tuần | Mục tiêu leads | Mục tiêu doanh thu | Kênh trọng tâm | Action items\n\nFormat: Rõ ràng, có thể thực thi ngay, kèm tool/resource gợi ý cho từng task.	marketing,planning,90-day,strategy,SME	0	5
mkt-002	MKT-002 Content Pillar	marketing	Claude	Bạn là Content Strategist chuyên xây dựng hệ thống nội dung bền vững cho thương hiệu.\n\nHãy thiết kế HỆ THỐNG CONTENT PILLAR cho:\n\nTHÔNG TIN THƯƠNG HIỆU:\n- Thương hiệu: [TÊN THƯƠNG HIỆU]\n- Lĩnh vực: [LĨNH VỰC]\n- Đối tượng khách hàng: [MÔ TẢ ICP]\n- Điều thương hiệu muốn được biết đến: [GIÁ TRỊ CỐT LÕI]\n- Kênh phân phối nội dung: [FACEBOOK / YOUTUBE / TIKTOK / ZALO / EMAIL]\n- Tone of voice: [CHUYÊN NGHIỆP / GẦN GŨI / TRUYỀN CẢM HỨNG]\n\nOUTPUT CẦN TẠO:\n\nPILLAR 1 - BRAND STORY\n- Chủ đề: Câu chuyện thương hiệu, hành trình, con người\n- Tần suất: X lần/tuần\n- 5 ý tưởng nội dung cụ thể\n- Hook template mẫu\n\nPILLAR 2 - EDUCATION\n- Chủ đề: Kiến thức, hướng dẫn, how-to\n- Tần suất: X lần/tuần\n- 5 ý tưởng nội dung cụ thể\n- Hook template mẫu\n\nPILLAR 3 - SOCIAL PROOF\n- Chủ đề: Case study, testimonial, kết quả khách hàng\n- Tần suất: X lần/tuần\n- 5 ý tưởng nội dung cụ thể\n- Hook template mẫu\n\nPILLAR 4 - ENGAGEMENT\n- Chủ đề: Tương tác, câu hỏi, thảo luận, poll\n- Tần suất: X lần/tuần\n- 5 ý tưởng nội dung cụ thể\n\nPILLAR 5 - CONVERSION\n- Chủ đề: Offer, CTA, promotion, sản phẩm\n- Tần suất: X lần/tuần\n- 5 ý tưởng không bị cảm giác bán hàng lộ liễu\n\nCONTENT MIX: Tỉ lệ lý tưởng giữa 5 pillars theo từng kênh\nCONTENT BANK: 30 ý tưởng cụ thể cho 30 ngày đầu	content,pillar,strategy,brand,topics	0	5
mkt-003	MKT-003 Lịch Content 30 ngày	marketing	Claude	Bạn là Content Manager chuyên lập lịch nội dung cho thương hiệu Việt Nam.\n\nTạo LỊCH CONTENT 30 NGÀY hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Thương hiệu: [TÊN THƯƠNG HIỆU]\n- Kênh đăng: [FACEBOOK / INSTAGRAM / TIKTOK / ZALO OA]\n- Tần suất: [X bài/tuần]\n- Sự kiện/ngày lễ trong tháng: [LIỆT KÊ]\n- Chương trình đang chạy: [PROMOTION / EVENT]\n- Tone: [PHONG CÁCH VIẾT]\n\nLỊCH THEO TUẦN:\n- Tuần 1: Education + Engagement (warm-up audience)\n- Tuần 2: Education + Social Proof\n- Tuần 3: Social Proof + Soft Conversion\n- Tuần 4: Conversion + Teaser tháng sau\n\nFORMAT BẢNG:\nNgày | Thứ | Pillar | Chủ đề | Format | Caption (100 chữ) | CTA | Hashtag\n\nCHO MỖI BÀI:\n- Gợi ý ảnh/video concept\n- Caption dùng được ngay\n- 5-10 hashtag phù hợp\n- Thời gian đăng tối ưu\n\nBONUS:\n- 5 bài dự phòng khi thiếu nội dung\n- Template caption tái sử dụng theo từng dạng bài	content-calendar,30-day,schedule,social-media	0	5
mkt-004	MKT-004 Facebook Viral Post	marketing	Claude	Bạn là Facebook Copywriter chuyên tạo bài viết viral cho thị trường Việt Nam.\n\nViết BÀI FACEBOOK VIRAL cho:\n\nTHÔNG TIN:\n- Thương hiệu/cá nhân: [TÊN]\n- Chủ đề bài viết: [CHỦ ĐỀ]\n- Mục tiêu: [REACH / ENGAGEMENT / CLICK / SALE]\n- Đối tượng đọc: [MÔ TẢ]\n- Offer/CTA muốn push: [CTA]\n\nPHIÊN BẢN 1 - STORYTELLING\n- Hook 2 dòng đầu gây tò mò/shock/đồng cảm\n- Câu chuyện có arc rõ ràng: Setup > Conflict > Resolution\n- Lesson rút ra và CTA tự nhiên\n- Độ dài: 300-500 chữ\n\nPHIÊN BẢN 2 - LIST POST\n- Hook dạng số liệu hoặc list\n- 5-7 điểm giá trị cao, mỗi điểm 1-2 câu súc tích\n- CTA cuối - độ dài: 200-350 chữ\n\nPHIÊN BẢN 3 - CONTROVERSIAL / OPINION\n- Hook dạng quan điểm mạnh hoặc phản biện\n- Lập luận logic thú vị - invite discussion\n- CTA dạng hỏi ý kiến - độ dài: 200-300 chữ\n\nCHO MỖI PHIÊN BẢN:\n- Gợi ý ảnh thumbnail/concept\n- 10 hashtag tối ưu\n- Thời gian đăng lý tưởng\n- Dự đoán loại tương tác (like/comment/share)	facebook,viral,post,engagement,copywriting	0	5
mkt-005	MKT-005 Livestream Script	marketing	Claude	Bạn là Livestream Producer chuyên tối ưu doanh thu từ Facebook Live cho thị trường Việt Nam.\n\nTạo KỊCH BẢN LIVESTREAM đầy đủ cho:\n\nTHÔNG TIN:\n- Thương hiệu: [TÊN]\n- Sản phẩm bán trong live: [SẢN PHẨM + GIÁ]\n- Thời lượng live: [X phút]\n- Offer đặc biệt trong live: [OFFER]\n- Host livestream: [MÔ TẢ NGƯỜI DẪN]\n\nKỊCH BẢN THEO TIMELINE:\n\n[0:00-5:00] MỞ ĐẦU - WARM UP\n- Script chào hỏi, kết nối với người xem\n- Câu hỏi warm-up để tăng comment\n- Preview những gì sẽ xảy ra trong live\n- Tạo kỳ vọng về offer sắp tiết lộ\n\n[5:00-15:00] XÂY DỰNG GIÁ TRỊ\n- Chia sẻ kiến thức/tip hữu ích liên quan sản phẩm\n- Câu hỏi tương tác định kỳ mỗi 3 phút\n- Social proof ngắn (testimonial/case study)\n\n[15:00-25:00] GIỚI THIỆU SẢN PHẨM\n- Demo/giới thiệu sản phẩm\n- Pain point > Solution framework\n- So sánh trước/sau khi dùng\n\n[25:00-35:00] REVEAL OFFER + Q&A\n- Tiết lộ giá gốc > Giá live\n- Giải thích tại sao có offer này\n- Xử lý objections phổ biến + Q&A trực tiếp\n\n[35:00-45:00] CHỐT SALE + CLOSE\n- Recap offer, create urgency (số lượng/thời gian giới hạn)\n- Hướng dẫn đặt hàng + Thank you + CTA follow\n\nCHECKLIST CHUẨN BỊ: Kỹ thuật | Nội dung | Tương tác\n\nSCRIPT XỬ LÝ OBJECTION:\n- Đắt quá: [trả lời]\n- Để suy nghĩ đã: [trả lời]\n- Mình chưa cần: [trả lời]	livestream,script,sales,facebook-live,engagement	0	5
mkt-006	MKT-006 Webinar Script	marketing	Claude	Bạn là Webinar Strategist chuyên thiết kế webinar chuyển đổi cao cho thị trường B2B và B2C Việt Nam.\n\nTạo KỊCH BẢN WEBINAR hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Chủ đề webinar: [CHỦ ĐỀ]\n- Đối tượng tham dự: [ICP]\n- Thời lượng: [X phút]\n- Offer cuối webinar: [SẢN PHẨM/KHÓA HỌC/DỊCH VỤ + GIÁ]\n- Host: [TÊN + CREDENTIALS]\n\nKỊCH BẢN 5 PHẦN:\n\nPHẦN 1 - INTRO (10 phút)\n- Script mở đầu tạo rapport và credibility stack\n- Agenda webinar và big promise\n- Quy tắc tham gia (tắt mic, đặt câu hỏi qua chat)\n\nPHẦN 2 - CONTENT VALUE (30-40 phút)\n- Framework/method chính (đặt tên độc đáo)\n- 3-5 bước/pillar cốt lõi\n- Mỗi phần: Concept > Example > Case study > Action step\n- Điểm tương tác: Poll, câu hỏi, chat mỗi 10 phút\n\nPHẦN 3 - BRIDGE TO OFFER (10 phút)\n- Tóm tắt những gì đã học\n- Transition tự nhiên sang sản phẩm\n\nPHẦN 4 - PITCH (15 phút)\n- Story về offer, what's inside (chi tiết từng module)\n- Stack giá trị: Tổng giá trị vs. Giá thực tế\n- Bonus + Guarantee + Urgency/Scarcity + CTA\n\nPHẦN 5 - Q&A (10 phút)\n- Xử lý câu hỏi + Remind CTA\n\nEMAIL SEQUENCE KÈM THEO:\n- Reminder 24h trước\n- Reminder 1h trước\n- Follow-up cho người không tham dự\n- Replay cho người đã tham dự	webinar,script,online,education,sales	0	5
mkt-007	MKT-007 Landing Page	marketing	Claude	Bạn là Landing Page Copywriter chuyên tối ưu conversion rate cho thị trường Việt Nam.\n\nViết LANDING PAGE hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Sản phẩm/dịch vụ: [TÊN + MÔ TẢ]\n- Đối tượng mục tiêu: [ICP chi tiết]\n- Offer chính: [GIÁ + ĐÃ BAO GỒM GÌ]\n- Pain point lớn nhất: [PAIN]\n- Kết quả họ muốn đạt: [OUTCOME]\n- Deadline/urgency: [THỜI HẠN NẾU CÓ]\n\nCÁC SECTIONS:\n\n1. HERO SECTION\n- Headline chính (dưới 10 chữ, kết quả rõ ràng)\n- Sub-headline (1-2 câu mở rộng)\n- CTA button text + social proof số ngay dưới CTA\n\n2. PROBLEM SECTION\n- Mô tả vấn đề (empathy) > Agitate > 3-5 bullet pain points\n\n3. SOLUTION SECTION\n- Introduce sản phẩm/dịch vụ\n- Cơ chế hoạt động (The Mechanism) và điểm khác biệt\n\n4. FEATURES & BENEFITS\n- 6-8 tính năng chính + lợi ích tương ứng (Icon + Tiêu đề + mô tả)\n\n5. SOCIAL PROOF\n- 3 testimonials template (short/medium/long)\n- Số liệu thực tế và logos/credentials\n\n6. OFFER STACK\n- Tên offer hấp dẫn, danh sách bao gồm + giá trị từng phần\n- Tổng giá trị vs. Giá thực + Bonus + Deadline\n\n7. FAQ\n- 6-8 câu hỏi phổ biến xử lý objection\n\n8. FINAL CTA\n- Recap lợi ích + CTA mạnh + Risk reversal (guarantee) + P.S. urgency\n\nFormat HTML-ready với heading tags rõ ràng	landing-page,copywriting,conversion,sales-page	0	5
mkt-008	MKT-008 Lead Magnet	marketing	Claude	Bạn là Growth Marketer chuyên thiết kế lead magnet tạo ra subscribers có giá trị cao.\n\nThiết kế HỆ THỐNG LEAD MAGNET cho:\n\nTHÔNG TIN:\n- Ngành/lĩnh vực: [NGÀNH]\n- Sản phẩm/dịch vụ chính muốn bán: [SẢN PHẨM]\n- Đối tượng thu hút: [ICP]\n- Vấn đề họ đang gặp: [PAIN POINTS]\n- Kênh phân phối: [FACEBOOK / LANDING PAGE / ZALO]\n\nPHẦN 1 - Ý TƯỞNG LEAD MAGNET\nĐề xuất 5 loại phù hợp nhất:\nTên | Mô tả ngắn | Lý do hiệu quả (x5)\nChọn 1 tốt nhất và phát triển đầy đủ.\n\nPHẦN 2 - TẠO LEAD MAGNET\n- Tiêu đề hấp dẫn (3 phiên bản A/B test)\n- Mô tả ngắn cho quảng cáo (50 chữ)\n- Mục lục/outline đầy đủ từng phần\n- Yêu cầu thiết kế (màu, font, style)\n\nPHẦN 3 - OPT-IN PAGE\n- Headline trang đăng ký\n- 5 bullet benefits\n- Form CTA text + Thank you page message\n\nPHẦN 4 - DELIVERY SEQUENCE (4 emails)\n- Email 1 (ngay): Giao lead magnet + warm welcome\n- Email 2 (ngày 2): Quick win tip\n- Email 3 (ngày 4): Case study\n- Email 4 (ngày 7): Soft pitch sản phẩm chính\n\nPHẦN 5 - QUẢNG BÁ\n- 3 Facebook post templates để promote\n- Ad copy ngắn (cho chạy quảng cáo)\n- Caption Zalo OA	lead-magnet,freebie,list-building,opt-in,email	0	5
mkt-009	MKT-009 Email Marketing	marketing	Claude	Bạn là Email Marketing Specialist với expertise xây dựng chuỗi email tỷ lệ mở cao và chuyển đổi tốt.\n\nViết CHUỖI 7 EMAIL hoàn chỉnh cho:\n\nTHÔNG TIN:\n- Thương hiệu: [TÊN]\n- Sản phẩm/dịch vụ: [MÔ TẢ]\n- Loại chuỗi: [WELCOME / NURTURE / PROMOTION / WIN-BACK]\n- Đối tượng nhận: [MÔ TẢ SEGMENT]\n- Mục tiêu: [GOAL]\n\nEMAIL 1 - WELCOME (Gửi ngay)\nSubject line (3 phiên bản A/B) | Preview text | Body 200-300 chữ | CTA | P.S.\n\nEMAIL 2 - STORY (Ngày 2)\nSubject line | Câu chuyện thương hiệu/founder | Lesson + Value | Soft CTA\n\nEMAIL 3 - VALUE (Ngày 4)\nSubject line | Tip/hướng dẫn hữu ích | Mini case study | CTA\n\nEMAIL 4 - SOCIAL PROOF (Ngày 6)\nSubject line | Testimonial/success story | Kết quả cụ thể | CTA\n\nEMAIL 5 - OBJECTION CRUSHER (Ngày 9)\nSubject line | FAQ format xử lý 3 objections chính | CTA\n\nEMAIL 6 - OFFER (Ngày 12)\nSubject line gây urgency | Introduce offer | Giá trị + Bonus | Strong CTA + Deadline\n\nEMAIL 7 - LAST CHANCE (Ngày 14)\nSubject line scarcity | Recap offer ngắn gọn | Final CTA | Post-deadline plan\n\nFORMAT CHUẨN: Từ | Đến | Subject | Preview | Body | CTA | Chữ ký	email,marketing,automation,sequence,newsletter	0	5
mkt-010	MKT-010 Zalo Marketing	marketing	Claude	Bạn là Zalo Marketing Expert chuyên triển khai chiến lược Zalo OA hiệu quả cho doanh nghiệp Việt Nam.\n\nXây dựng CHIẾN LƯỢC ZALO MARKETING cho:\n\nTHÔNG TIN:\n- Doanh nghiệp: [TÊN]\n- Sản phẩm/dịch vụ: [MÔ TẢ]\n- Số follower OA hiện tại: [SỐ LƯỢNG]\n- Mục tiêu: [TĂNG FOLLOWER / DOANH THU / ENGAGEMENT]\n- Ngân sách ZNS/tháng: [NGÂN SÁCH]\n\nPHẦN 1 - CHIẾN LƯỢC OA\n- Profile OA tối ưu (bio, cover, menu 3 cấp)\n- Pinned post strategy + Tần suất đăng bài\n\nPHẦN 2 - 15 BÀI MẪU OA\nMỗi bài: Tiêu đề | Loại | Nội dung 150-200 chữ | CTA\n- 5 bài giáo dục/tips\n- 3 bài social proof\n- 3 bài sản phẩm\n- 2 bài engagement (poll/quiz)\n- 2 bài promotion\n\nPHẦN 3 - ZNS TEMPLATES (5 loại)\n- Welcome mới follow OA\n- Chăm sóc định kỳ (theo ngành)\n- Flash sale/promotion\n- Nhắc lịch hẹn/sử dụng dịch vụ\n- Birthday/anniversary\n\nPHẦN 4 - ZALO BROADCAST\n- Phân đoạn danh sách gợi ý\n- Template broadcast theo từng segment\n- Tần suất gửi không spam\n\nPHẦN 5 - TĂNG FOLLOWER OA\n- 5 chiến thuật organic + Checklist tối ưu điểm chạm\n- Script nhân viên mời follow	zalo,zns,oa,messaging,vietnam	0	5
